lang	avg_len	shannon	test_shannon	test_loss	test_acc	best_epoch	val_loss	val_acc
Aalsmeer NH	4.964912280701754	4.537791789913291	4.379103839109816	2.910362912897478	0.4147059023380279	21.0	3.107784986495972	0.3523809611797333
Aalten Gl	4.803571428571429	4.622507326044348	4.624438244147403	3.533395222255162	0.3076923191547394	22.0	3.311436176300049	0.2996845543384552
Aardenburg Ze	4.631578947368421	4.590281021697481	4.512286153162852	3.2778826261821545	0.3084112107753753	17.0	3.2150161266326904	0.289473682641983
Aarlanderveen ZH	5.0701754385964914	4.425694700277258	4.292122061649776	2.8445852179276314	0.3843930661678314	21.0	2.886852979660034	0.3722397685050964
Abbekerk NH	4.872727272727273	4.650577498200283	4.615866868838116	3.3547698974609377	0.3931888341903686	19.0	3.2542340755462646	0.3420195281505584
Achterberg Ut	4.785714285714286	4.522580044218846	4.429128100871256	3.198990958077567	0.3981481492519378	23.0	3.071176290512085	0.3548386991024017
Aduard Gn	4.425925925925926	4.8055447591225295	4.751071246520262	3.4916209468135126	0.341296911239624	18.0	3.504361391067505	0.3043478429317474
Afferden Lb	4.785714285714286	4.60435585950427	4.490965106776289	3.495760236467634	0.3209876418113708	16.0	3.306246042251587	0.3425605595111847
Almen Gl	4.75	4.558562305061307	4.47886749823484	3.394106183733259	0.3012422323226928	19.0	3.342336893081665	0.2708333432674408
Almkerk NB	4.709090909090909	4.5507089238218095	4.475778990208736	3.318280584161932	0.3535031974315643	17.0	3.392986536026001	0.3097642958164215
Alphen NB	4.807017543859649	4.566305917318782	4.456610130444923	3.2295307360197367	0.3867069482803345	22.0	3.208235502243042	0.3594771325588226
Ameide ZH	4.857142857142857	4.512061772543201	4.478085002521958	3.2339466639927457	0.353658527135849	21.0	3.2649917602539062	0.3343949019908905
Amersfoort Ut	5.315789473684211	4.5840424739915	4.453484991824652	2.9995015462239585	0.4194444417953491	19.0	3.1480278968811035	0.3567073047161102
Angerlo Gl	4.944444444444445	4.6518959714960895	4.587694875107571	3.3041407267252603	0.3831775486469269	16.0	3.255038261413574	0.3536977469921112
Anloo Dr	4.607142857142857	4.703616231418477	4.620775355250422	3.243882860456194	0.3503184914588928	16.0	3.4057066440582275	0.2813559174537658
Apeldoorn Gl	4.754385964912281	4.710591046270708	4.720688728391568	3.512208102042215	0.2926829159259796	19.0	3.450584888458252	0.2939189374446869
Appingedam Gn	4.517857142857143	4.796191235234799	4.660534626536955	3.26074709211077	0.3689320385456085	19.0	3.470538377761841	0.3378378450870514
Arnemuiden Ze	5.017543859649122	4.525807534564233	4.387388582320026	3.124831350226151	0.3702624142169952	22.0	3.1821460723876958	0.3665594756603241
Austerlitz Ut	5.385964912280702	4.501726648485783	4.396882148704029	2.948320890727796	0.4395604431629181	17.0	2.827221393585205	0.4129793643951416
Axel Ze	4.56140350877193	4.701821209191729	4.539173381611047	3.523518880208333	0.3217665553092956	15.0	3.400541067123413	0.3206896483898163
Baarle-Nassau NB	4.642857142857143	4.686633952175984	4.559965483752352	3.282262529645647	0.3607594966888428	16.0	3.400696039199829	0.3277592062950134
Bakel NB	4.830188679245283	4.63224015669311	4.496607686189964	3.391326328493514	0.3365695774555206	25.0	3.388314723968506	0.3242320716381073
Balkbrug Ov	4.727272727272728	4.683118120785784	4.593592098857723	3.4848427512428977	0.30158731341362	18.0	3.54646897315979	0.2709030210971832
Barger-Oosterveld Dr	4.875	4.65782824908788	4.648023261894182	3.248661313738142	0.3738601803779602	17.0	3.167341947555542	0.3199999928474426
Barneveld Gl	5.109090909090909	4.481654149156614	4.343474207809749	3.297327769886364	0.3511904776096344	22.0	3.1755852699279785	0.3354838788509369
Bathmen Ov	4.345454545454546	4.61416193950228	4.564902871338347	3.535843450372869	0.3231292366981506	28.0	3.421106338500977	0.3068591952323913
Beek NB	4.614035087719298	4.541967153279585	4.458753062481708	3.456168191474781	0.34375	22.0	3.283869743347168	0.341549277305603
Bellingwolde Gn	4.527272727272727	4.727586394452065	4.6604353170881865	3.261191073330966	0.351973682641983	16.0	3.4579477310180664	0.3137930929660797
