lang,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aalsmeer NH,4.0198135,3.3995602,3.3390293,2.8197494,1.9313729,2.0013444,1.7429976,1.8425902,2.7423558,0.09407499
Aalten Gl,4.3242207,4.329928,4.675042,3.6860611,2.0031173,2.1908774,0.70056105,1.2000118,0.057196528
Aardenburg Ze,4.029004,3.9007638,4.1397185,3.1980836,2.2665806,1.8036528,1.2236705,1.1379629,0.06404506
Aarlanderveen ZH,3.9717522,3.3478303,3.1778393,2.894931,1.8577046,1.7590058,2.2171702,1.3761889,3.0639884,0.26888338
Abbekerk NH,4.281027,4.352609,4.1975327,2.5297048,2.6031256,1.7851877,1.7698292,1.5780902,6.545359,0.33010665
Achterberg Ut,3.8104477,4.241407,4.2129655,2.9464366,1.9169494,2.1939447,1.1881903,0.27046192,0.059789203
Aduard Gn,4.1419263,4.2827344,4.3137875,3.9744048,2.0258992,0.89199847,0.7693542,0.06800447
Afferden Lb,4.3189726,4.488385,4.2856913,3.320139,2.5479305,1.7813979,1.2143673,3.199071,0.16417299
Almen Gl,4.326783,4.272035,4.104188,3.2252827,2.2124147,1.946915,2.6748316,1.226791,0.05709189
Almkerk NB,4.15212,4.390365,4.2984133,2.7483232,1.9528552,2.2295883,0.8583435,2.4101493,0.07069585
Alphen NB,4.285636,4.170642,3.925266,2.74837,2.1392534,1.6541421,1.8199213,2.1197028,0.31964526
Ameide ZH,3.8274372,4.354633,4.048799,2.7620156,2.3831592,2.4955258,0.78843457,0.6352773,0.05316176
Amersfoort Ut,4.3116894,4.166684,3.79179,2.6730936,2.4470031,1.4670774,0.77911747,0.7490856,0.02008606
Angerlo Gl,4.223614,4.8109984,4.3275537,3.1372366,1.8437904,0.95329124,1.1300712,0.86045444,0.08198787
Anloo Dr,3.9534438,4.042581,4.5055118,3.2814395,1.841501,1.1503762,1.0205537,0.15824585
Apeldoorn Gl,4.2879925,4.374409,4.5893254,3.5466468,2.163082,1.7414802,1.4507836,0.19321576
Appingedam Gn,4.017067,4.1256685,4.081871,3.5016177,1.8652626,1.2092416,0.96391606,0.07194941
Arnemuiden Ze,4.1862187,4.020065,4.027608,2.6913092,1.6690774,1.8304646,2.5136068,2.0285566,1.6042054,0.028707042
Austerlitz Ut,4.201415,4.1663866,3.9749794,2.9589746,1.7971067,1.1316448,1.0224988,0.80887234,2.565653,0.041268617
Axel Ze,4.3419814,4.677339,4.293924,3.1127243,1.8229096,2.093837,1.4832877,2.6128747,0.049477756
Baarle-Nassau NB,4.049516,4.444864,4.2513776,2.9775846,2.0693214,1.4210176,0.63910526,0.050420627
Bakel NB,4.2872357,3.879334,4.582187,3.2404974,2.240763,2.4562895,0.7471151,1.9072095,0.057893585
Balkbrug Ov,4.2187977,4.638769,4.587357,3.725682,1.9011492,1.3383975,0.42610073,0.09057621
Barger-Oosterveld Dr,3.8219738,4.1505933,4.395011,3.7910674,2.0017626,1.4032612,0.6740111,0.11335763
Barneveld Gl,4.473844,3.8055663,4.1757145,3.2281632,2.3375294,1.5846199,1.7079964,0.3291518,0.9683439
Bathmen Ov,4.3275023,4.0766726,4.292312,4.0395994,1.5442755,1.897858,1.4314921,0.41249582
Beek NB,4.3263626,4.282176,4.416624,2.9427838,2.007097,2.39051,1.6439831,0.71120214,0.04253676
Bellingwolde Gn,4.190797,3.8153293,4.408419,3.3547664,1.5488441,1.6581982,0.7235952,0.13707042
