lang	avg_len	lstm
Aalsmeer NH	4.964912280701754	3.8048526696991503
Aalten Gl	4.803571428571429	4.39885493687221
Aardenburg Ze	4.631578947368421	4.215387712445176
Aarlanderveen ZH	5.0701754385964914	3.774772777891996
Abbekerk NH	4.872727272727273	4.248483276367187
Achterberg Ut	4.785714285714286	4.0246124267578125
Aduard Gn	4.425925925925926	4.424536810980903
Afferden Lb	4.785714285714286	4.372607094900949
Almen Gl	4.75	4.283864974975586
Almkerk NB	4.709090909090909	4.165084006569602
Alphen NB	4.807017543859649	4.11172592430784
Ameide ZH	4.857142857142857	4.096968242100307
Amersfoort Ut	5.315789473684211	3.878454375685307
Angerlo Gl	4.944444444444445	4.237645184552228
Anloo Dr	4.607142857142857	4.179149900163923
Apeldoorn Gl	4.754385964912281	4.434589319061815
Appingedam Gn	4.517857142857143	4.17978150503976
Arnemuiden Ze	5.017543859649122	4.020483719675164
Austerlitz Ut	5.385964912280702	3.910562080249452
Axel Ze	4.56140350877193	4.389143291272615
Baarle-Nassau NB	4.642857142857143	4.182837350027902
Bakel NB	4.830188679245283	4.27048765938237
Balkbrug Ov	4.727272727272728	4.313411365855824
Barger-Oosterveld Dr	4.875	4.172841480800083
Barneveld Gl	5.109090909090909	4.163217440518466
Bathmen Ov	4.345454545454546	4.407048173384233
Beek NB	4.614035087719298	4.264633714107045
Bellingwolde Gn	4.527272727272727	4.165447443181818
Benschop Ut	4.87719298245614	4.259833352607593
Bergen op Zoom NB	4.696428571428571	3.996868678501674
Bergentheim Ov	4.446428571428571	4.371925898960659
Berkel-Oud ZH	5.2407407407407405	3.8008993643301503
Bleskensgraaf ZH	5.410714285714286	3.903660910470145
Blokzijl Ov	4.5	4.151598794119699
Boekel NB	4.824561403508772	4.255946644565515
Borculo Gl	4.701754385964913	4.373540777909128
Borkel NB	4.771929824561403	4.306773670932703
Borne Ov	4.163636363636364	4.529317959872159
Boven-Hardinxveld ZH	5.0	3.898529335304543
Boxtel NB	4.842105263157895	4.206143830951891
Breda NB	5.245614035087719	4.026302404570997
Bredevoort Gl	4.982142857142857	4.249153137207031
Breskens Ze	4.473684210526316	4.392810486910636
Brielle ZH	4.859649122807017	4.038035342567845
Brouwershaven Ze	5.109090909090909	4.235354336825284
Brummen Gl	4.875	4.340472630092076
Brunssum Lb	4.481481481481482	4.335045143410012
Budel NB	4.642857142857143	4.234448841639927
Buurmalsen Gl	4.732142857142857	4.348893301827567
Callantsoog NH	4.964912280701754	4.115497789884868
Coevorden Dr	4.581818181818182	4.198242742365057
Culemborg Gl	4.773584905660377	4.193367148345372
Dalfsen Ov	4.631578947368421	4.420225444592927
De Lier ZH	4.962264150943396	4.028332116468897
De Lutte Ov	4.264150943396227	4.287023292397553
De Rijp NH	4.964285714285714	4.1984694344656805
Dedemsvaart Ov	4.571428571428571	4.310699462890625
Deil Gl	5.107142857142857	4.27735710144043
Delden Ov	4.303571428571429	4.487970079694476
Delft ZH hoog	5.052631578947368	4.037256073533443
Delft ZH laag	5.0701754385964914	4.330018696032073
Den Dungen NB	4.754385964912281	4.3212440892269735
Den Ham Ov	4.490909090909091	4.520525013316761
Den Hoorn NH	4.842105263157895	4.176144783956962
Den Oever NH	5.0	4.098941802978516
Deurne NB	4.745454545454545	4.285949152166193
Deventer Ov	5.2	4.12226396040483
Didam Gl	4.631578947368421	4.24902772066886
Diemen NH	5.368421052631579	3.8558526290090462
Diepenveen Ov	4.719298245614035	4.306402373732182
Dieren Gl	5.035714285714286	4.000347137451172
Dodewaard Gl	4.714285714285714	4.164891379220145
Doesburg Gl	5.12280701754386	4.282599733586897
Doetinchem Gl	5.107142857142857	3.985698699951172
Dongen NB	4.807017543859649	4.205951356051261
Doornspijk Gl	4.482142857142857	4.203046798706055
Driebruggen ZH	5.464285714285714	3.76773452758789
Druten Gl	4.803921568627451	4.226426367666207
Dwingeloo Dr	4.732142857142857	4.229869842529297
Echt Lb	4.618181818181818	4.509159712357954
Edam NH	5.140350877192983	3.862346983792489
Ede Gl	4.714285714285714	4.2417289188929965
Eede Ze	4.649122807017544	4.073652033220258
Eelde Dr	4.589285714285714	4.080869947160993
Eenrum Gn	4.611111111111111	4.212779857494213
Eexterveen Dr	4.660714285714286	4.065151759556362
Egmond aan Zee NH	4.660714285714286	4.04824093409947
Egmond-Binnen NH	4.875	4.1419636862618585
Eibergen Gl	4.754385964912281	4.372660319010417
Eijsden Lb	4.672727272727273	4.288605846058239
Eindhoven NB	4.771929824561403	4.072427850020559
Elburg Gl	4.7407407407407405	4.233619972511574
Enkhuizen NH	5.142857142857143	3.961892809186663
Epen Lb	4.52	4.238303527832032
Fijnaart NB	5.4035087719298245	3.886987518845943
Finsterwolde Gn	4.732142857142857	4.048204149518695
Garderen Gl	5.2631578947368425	4.166251199287281
Gasselte Dr	4.596491228070176	3.997148212633635
Geldrop NB	4.631578947368421	4.253638551946272
Genemuiden Ov	4.581818181818182	4.241573819247159
Gerwen NB	4.767857142857143	4.337990897042411
Giesbeek Gl	5.017543859649122	4.019989549067983
Giethoorn Ov	4.7368421052631575	4.213572184244792
Goes Ze	5.298245614035087	4.010479575709293
Goirle NB	4.642857142857143	4.217182976858957
Gorssel Gl	4.821428571428571	4.431665420532227
Gouda ZH	5.315789473684211	3.8239009924102247
Gouderak ZH	5.313725490196078	3.817943498200061
Goudswaard ZH	4.912280701754386	4.094944468715735
Grave NB	4.54	4.3346035766601565
Grijpskerk Gn	4.56140350877193	4.282814427425987
Grijpskerke Ze	5.087719298245614	4.074404532449288
Groenekan Ut	4.839285714285714	4.030397415161133
Groenlo Gl	4.982142857142857	4.330964497157505
Groesbeek Gl	4.857142857142857	4.13329723903111
Gronsveld Lb	4.563636363636364	4.334269853071733
Grubbenvorst Lb	4.771929824561403	4.195768925181606
Gulpen Lb	4.490566037735849	4.236140988907724
Haaksbergen Ov	4.381818181818182	4.5860909201882105
Haamstede Ze	5.017857142857143	4.211503982543945
Haps NB	4.517857142857143	4.30237661089216
Hardenberg Ov	4.56140350877193	4.4713672838713
Harderwijk Gl	5.105263157894737	4.02590621145148
Hasselt Ov	4.614035087719298	4.378062465734649
Hattem Gl	4.428571428571429	4.40557725088937
Havelte Dr	4.7368421052631575	4.2367907072368425
Heerde Gl	4.571428571428571	4.543722425188337
Heerewaarden Gl	4.796296296296297	4.270988746925637
Hei- en Boeicop ZH	5.0181818181818185	4.107879083806818
Heinkenszand Ze	5.12280701754386	4.116759718510142
Heino Ov	4.385964912280702	4.517570629454496
Hellendoorn Ov	4.208333333333333	4.976853052775065
Hellevoetsluis ZH	5.125	3.9417087009974887
Helmond NB	4.767857142857143	4.2321608407156805
Hengelo Gl	4.947368421052632	4.34876853541324
Herkingen ZH	4.964912280701754	3.89944350928591
Heteren Gl	5.0	4.217774824662642
Hierden Gl	4.859649122807017	4.222559343304551
Hilvarenbeek NB	4.631578947368421	4.034928171258224
Hoedekenskerke Ze	4.912280701754386	4.189383523506031
Hoenderloo Gl	5.053571428571429	4.073819296700614
Hollandsche Veld Dr	4.785714285714286	4.025818416050503
Hooghalen Dr	4.508771929824562	4.056378280907347
Hoonhorst Ov	4.56140350877193	4.484142102693257
Hoorn NH	4.912280701754386	4.1022266588713
Horn Lb	4.649122807017544	4.334794161612527
Houten Ut	5.214285714285714	4.117446081978934
Huijbergen NB	4.982142857142857	4.053235735212054
Huizen NH	5.4035087719298245	3.9546888920298793
Hunsel Lb	4.666666666666667	4.236571194832785
IJmuiden NH	4.982456140350878	4.2417142098410086
IJsselmuiden Ov	4.824561403508772	4.286307351631031
IJzendijke Ze	4.830188679245283	4.419118917213296
Ingen Gl	4.946428571428571	4.316339492797852
Jutphaas Ut	4.87719298245614	4.065317522015488
Kamerik Ut	5.017543859649122	3.897311026589912
Kampen Ov	4.517857142857143	4.41046633039202
Kantens Gn	4.428571428571429	4.204860142299107
Katwijk aan Zee ZH	4.90566037735849	3.8857764477999694
Kedichem ZH	5.160714285714286	4.084835052490234
Kerkrade Lb	4.795918367346939	4.285412846779336
Kessel NB	4.842105263157895	4.303214089912281
Klaaswaal ZH	5.035087719298246	3.986272979200932
Kloosterzande Ze	5.017857142857143	3.95555659702846
Koedijk NH	4.982456140350878	4.201579846833882
Koekange Dr	4.553571428571429	4.076659066336496
Koewacht Ze	4.821428571428571	3.994248526436942
Kortgene Ze	5.0701754385964914	4.069753546463816
Koudekerk aan den Rijn ZH	5.175438596491228	3.794617770010965
Kruiningen Ze	4.7368421052631575	4.225550601356908
Kuinre Ov	4.381818181818182	4.3650290749289775
Lage Zwaluwe NB	4.824561403508772	3.979822526898301
Laren Gl	4.526315789473684	4.397208765933388
Laren NH	4.872727272727273	4.148937433416193
Leende NB	4.642857142857143	4.264301572527204
Leermens Gn	5.0	4.111118785121985
Lekkerkerk ZH	4.678571428571429	4.074474334716797
Lemele Ov	4.555555555555555	4.525479069462529
Lent Gl	4.660714285714286	4.245247159685407
Lichtenvoorde Gl	4.963636363636364	4.372204867276278
Lochem Gl	4.625	4.369035993303571
Loenen Gl	4.607142857142857	4.487334115164621
Loenen Ut	4.928571428571429	4.207171848842076
Loon op Zand NB	4.803571428571429	4.154843466622489
Maasbree Lb	4.648148148148148	4.293885125054254
Maastricht Lb	4.527272727272727	4.356611494584517
