lang	avg_len	shannon	test_shannon	test_loss	test_acc	best_epoch	val_loss	val_acc
Aalsmeer NH	4.964912280701754	4.537791789913291	4.379103839109816	3.8048526696991503	0.1647058874368667	30.0	5.555140495300293	0.1777777820825576
Aalten Gl	4.803571428571429	4.622507326044348	4.624438244147403	4.39885493687221	0.1507692337036132	29.0	5.855226039886475	0.1356466859579086
Aardenburg Ze	4.631578947368421	4.590281021697481	4.512286153162852	4.215387712445176	0.1557632386684417	24.0	5.665970802307129	0.141447365283966
Aarlanderveen ZH	5.0701754385964914	4.425694700277258	4.292122061649776	3.774772777891996	0.1763005703687667	35.0	5.346045970916748	0.1924290210008621
Abbekerk NH	4.872727272727273	4.650577498200283	4.615866868838116	4.248483276367187	0.1764705777168274	21.0	5.76725435256958	0.1726384311914444
Achterberg Ut	4.785714285714286	4.522580044218846	4.429128100871256	4.0246124267578125	0.175925925374031	20.0	5.684410095214844	0.1903225779533386
Aduard Gn	4.425925925925926	4.8055447591225295	4.751071246520262	4.424536810980903	0.1843003332614898	29.0	5.887585639953613	0.1884057968854904
Afferden Lb	4.785714285714286	4.60435585950427	4.490965106776289	4.372607094900949	0.1604938209056854	22.0	5.871495246887207	0.186851218342781
Almen Gl	4.75	4.558562305061307	4.47886749823484	4.283864974975586	0.1490683257579803	24.0	5.858971118927002	0.1354166716337204
Almkerk NB	4.709090909090909	4.5507089238218095	4.475778990208736	4.165084006569602	0.1847133785486221	20.0	6.014556884765625	0.1818181723356247
Alphen NB	4.807017543859649	4.566305917318782	4.456610130444923	4.11172592430784	0.1752265840768814	26.0	5.692804336547852	0.1928104609251022
Ameide ZH	4.857142857142857	4.512061772543201	4.478085002521958	4.096968242100307	0.1737804859876632	23.0	5.8745832443237305	0.1942675113677978
Amersfoort Ut	5.315789473684211	4.5840424739915	4.453484991824652	3.878454375685307	0.1444444507360458	27.0	5.682662963867188	0.1524390131235122
Angerlo Gl	4.944444444444445	4.6518959714960895	4.587694875107571	4.237645184552228	0.1682242900133133	24.0	5.590746879577637	0.1768488734960556
Anloo Dr	4.607142857142857	4.703616231418477	4.620775355250422	4.179149900163923	0.1656050980091095	26.0	5.852712631225586	0.1559322029352188
Apeldoorn Gl	4.754385964912281	4.710591046270708	4.720688728391568	4.434589319061815	0.1524390131235122	33.0	5.927891731262207	0.1452702730894088
Appingedam Gn	4.517857142857143	4.796191235234799	4.660534626536955	4.17978150503976	0.1747572869062423	30.0	5.860131740570068	0.1756756752729416
Arnemuiden Ze	5.017543859649122	4.525807534564233	4.387388582320026	4.020483719675164	0.1399416923522949	25.0	5.668011665344238	0.1446945369243621
Austerlitz Ut	5.385964912280702	4.501726648485783	4.396882148704029	3.910562080249452	0.1620879173278808	31.0	5.282977104187012	0.1740413010120391
Axel Ze	4.56140350877193	4.701821209191729	4.539173381611047	4.389143291272615	0.1545741409063339	21.0	5.88661527633667	0.1517241299152374
Baarle-Nassau NB	4.642857142857143	4.686633952175984	4.559965483752352	4.182837350027902	0.1772151887416839	19.0	5.919344902038574	0.1806019991636276
Bakel NB	4.830188679245283	4.63224015669311	4.496607686189964	4.27048765938237	0.1779935359954834	21.0	6.014101982116699	0.1877133101224899
Balkbrug Ov	4.727272727272728	4.683118120785784	4.593592098857723	4.313411365855824	0.1492063552141189	25.0	5.9823503494262695	0.1337792575359344
Barger-Oosterveld Dr	4.875	4.65782824908788	4.648023261894182	4.172841480800083	0.1641337424516677	26.0	5.569580078125	0.1500000059604644
Barneveld Gl	5.109090909090909	4.481654149156614	4.343474207809749	4.163217440518466	0.1428571492433548	33.0	5.763545036315918	0.145161285996437
Bathmen Ov	4.345454545454546	4.61416193950228	4.564902871338347	4.407048173384233	0.1598639488220214	29.0	6.007713794708252	0.1624548733234405
Beek NB	4.614035087719298	4.541967153279585	4.458753062481708	4.264633714107045	0.1687500029802322	26.0	5.881381511688232	0.1866197139024734
Bellingwolde Gn	4.527272727272727	4.727586394452065	4.6604353170881865	4.165447443181818	0.164473682641983	23.0	6.05441427230835	0.1724137961864471
Benschop Ut	4.87719298245614	4.549530707111554	4.460127111827572	4.259833352607593	0.1641791015863418	33.0	5.823349952697754	0.1757188439369201
Bergen op Zoom NB	4.696428571428571	4.537443893384867	4.404732111029489	3.996868678501674	0.1661441922187805	20.0	5.6641998291015625	0.1634615361690521
Bergentheim Ov	4.446428571428571	4.592541382248375	4.575184693255275	4.371925898960659	0.1770491749048233	26.0	6.01169490814209	0.1626297682523727
Berkel-Oud ZH	5.2407407407407405	4.481260107995992	4.294424779965364	3.8008993643301503	0.1632047444581985	26.0	5.232482433319092	0.185758501291275
Bleskensgraaf ZH	5.410714285714286	4.504035270726535	4.326661929142276	3.903660910470145	0.1253481805324554	29.0	5.389814376831055	0.1441441476345062
Blokzijl Ov	4.5	4.585842288496144	4.499239547216333	4.151598794119699	0.1785714328289032	30.0	5.81119441986084	0.1696113049983978
Boekel NB	4.824561403508772	4.599626125269756	4.385260000608174	4.255946644565515	0.1566264927387237	18.0	5.984571933746338	0.1872791498899459
Borculo Gl	4.701754385964913	4.657358523680561	4.638911674496715	4.373540777909128	0.1507692337036132	24.0	6.043130874633789	0.1390728503465652
Borkel NB	4.771929824561403	4.569985382051765	4.5158154423699575	4.306773670932703	0.1610942333936691	21.0	5.8310866355896	0.1836065649986267
Borne Ov	4.163636363636364	4.84695620906338	4.775643753176529	4.529317959872159	0.1866197139024734	22.0	6.123083591461182	0.1825396865606308
Boven-Hardinxveld ZH	5.0	4.562287081761233	4.402679035548661	3.898529335304543	0.1697530895471573	27.0	5.582272529602051	0.1572327017784118
Boxtel NB	4.842105263157895	4.677960718800266	4.491564728881424	4.206143830951891	0.1681681722402572	18.0	6.006662368774414	0.1725239604711532
