lang,avg_len,shannon,test_shannon,test_loss,test_acc,best_epoch,val_loss,val_acc
Aalsmeer NH,4.964912280701754,4.537791789913291,4.379103839109816,3.8048526696991503,0.16470588743686676,30,5.555140495300293,0.17777778208255768
Aalten Gl,4.803571428571429,4.622507326044348,4.624438244147403,4.39885493687221,0.15076923370361328,29,5.855226039886475,0.13564668595790863
Aardenburg Ze,4.631578947368421,4.590281021697481,4.512286153162852,4.2153877124451755,0.15576323866844177,24,5.665970802307129,0.14144736528396606
Aarlanderveen ZH,5.0701754385964914,4.425694700277258,4.292122061649776,3.7747727778919957,0.17630057036876678,35,5.346045970916748,0.19242902100086212
Abbekerk NH,4.872727272727273,4.650577498200283,4.615866868838116,4.248483276367187,0.1764705777168274,21,5.76725435256958,0.1726384311914444
Achterberg Ut,4.785714285714286,4.522580044218846,4.429128100871256,4.0246124267578125,0.17592592537403107,20,5.684410095214844,0.19032257795333862
Aduard Gn,4.425925925925926,4.8055447591225295,4.751071246520262,4.424536810980903,0.18430033326148987,29,5.887585639953613,0.18840579688549042
Afferden Lb,4.785714285714286,4.60435585950427,4.490965106776289,4.372607094900949,0.16049382090568542,22,5.871495246887207,0.18685121834278107
Almen Gl,4.75,4.558562305061307,4.47886749823484,4.283864974975586,0.14906832575798035,24,5.858971118927002,0.1354166716337204
Almkerk NB,4.709090909090909,4.5507089238218095,4.475778990208736,4.165084006569602,0.18471337854862213,20,6.014556884765625,0.1818181723356247
Alphen NB,4.807017543859649,4.566305917318782,4.456610130444923,4.11172592430784,0.1752265840768814,26,5.692804336547852,0.19281046092510223
Ameide ZH,4.857142857142857,4.512061772543201,4.478085002521958,4.096968242100307,0.17378048598766327,23,5.8745832443237305,0.19426751136779785
Amersfoort Ut,5.315789473684211,4.5840424739915,4.453484991824652,3.878454375685307,0.14444445073604584,27,5.6826629638671875,0.15243901312351227
Angerlo Gl,4.944444444444445,4.6518959714960895,4.587694875107571,4.237645184552228,0.1682242900133133,24,5.590746879577637,0.1768488734960556
Anloo Dr,4.607142857142857,4.703616231418477,4.620775355250422,4.179149900163923,0.1656050980091095,26,5.852712631225586,0.1559322029352188
Apeldoorn Gl,4.754385964912281,4.710591046270708,4.720688728391568,4.434589319061815,0.15243901312351227,33,5.927891731262207,0.14527027308940887
Appingedam Gn,4.517857142857143,4.796191235234799,4.660534626536955,4.17978150503976,0.17475728690624237,30,5.860131740570068,0.1756756752729416
Arnemuiden Ze,5.017543859649122,4.525807534564233,4.387388582320026,4.020483719675164,0.13994169235229492,25,5.668011665344238,0.14469453692436218
Austerlitz Ut,5.385964912280702,4.501726648485783,4.396882148704029,3.9105620802494516,0.16208791732788086,31,5.282977104187012,0.17404130101203918
Axel Ze,4.56140350877193,4.701821209191729,4.539173381611047,4.389143291272615,0.15457414090633392,21,5.88661527633667,0.15172412991523743
Baarle-Nassau NB,4.642857142857143,4.686633952175984,4.559965483752352,4.182837350027902,0.17721518874168396,19,5.919344902038574,0.18060199916362762
Bakel NB,4.830188679245283,4.63224015669311,4.496607686189964,4.27048765938237,0.1779935359954834,21,6.014101982116699,0.18771331012248993
Balkbrug Ov,4.7272727272727275,4.6831181207857835,4.593592098857723,4.313411365855824,0.14920635521411896,25,5.9823503494262695,0.13377925753593445
Barger-Oosterveld Dr,4.875,4.65782824908788,4.648023261894182,4.172841480800083,0.16413374245166779,26,5.569580078125,0.15000000596046448
Barneveld Gl,5.109090909090909,4.481654149156614,4.343474207809749,4.163217440518466,0.1428571492433548,33,5.763545036315918,0.14516128599643707
Bathmen Ov,4.345454545454546,4.61416193950228,4.564902871338347,4.407048173384233,0.15986394882202148,29,6.007713794708252,0.16245487332344055
Beek NB,4.614035087719298,4.541967153279585,4.4587530624817076,4.264633714107045,0.16875000298023224,26,5.881381511688232,0.18661971390247345
Bellingwolde Gn,4.527272727272727,4.727586394452065,4.6604353170881865,4.165447443181818,0.16447368264198303,23,6.05441427230835,0.17241379618644714
Benschop Ut,4.87719298245614,4.549530707111554,4.460127111827572,4.259833352607593,0.16417910158634186,33,5.823349952697754,0.17571884393692017
Bergen op Zoom NB,4.696428571428571,4.537443893384867,4.404732111029489,3.996868678501674,0.16614419221878052,20,5.6641998291015625,0.16346153616905212
Bergentheim Ov,4.446428571428571,4.592541382248375,4.575184693255275,4.371925898960659,0.1770491749048233,26,6.01169490814209,0.16262976825237274
Berkel-Oud ZH,5.2407407407407405,4.4812601079959915,4.294424779965364,3.8008993643301503,0.16320474445819855,26,5.232482433319092,0.18575850129127502
Bleskensgraaf ZH,5.410714285714286,4.504035270726535,4.326661929142276,3.903660910470145,0.12534818053245544,29,5.389814376831055,0.14414414763450623
Blokzijl Ov,4.5,4.585842288496144,4.499239547216333,4.151598794119699,0.1785714328289032,30,5.81119441986084,0.16961130499839783
Boekel NB,4.824561403508772,4.599626125269756,4.385260000608174,4.255946644565515,0.15662649273872375,18,5.984571933746338,0.18727914988994598
Borculo Gl,4.701754385964913,4.657358523680561,4.638911674496715,4.373540777909128,0.15076923370361328,24,6.043130874633789,0.13907285034656525
Borkel NB,4.771929824561403,4.569985382051765,4.5158154423699575,4.306773670932703,0.16109423339366913,21,5.8310866355896,0.1836065649986267
Borne Ov,4.163636363636364,4.84695620906338,4.775643753176529,4.529317959872159,0.18661971390247345,22,6.123083591461182,0.1825396865606308
Boven-Hardinxveld ZH,5.0,4.562287081761233,4.402679035548661,3.8985293353045427,0.1697530895471573,27,5.582272529602051,0.15723270177841187
Boxtel NB,4.842105263157895,4.677960718800266,4.491564728881424,4.206143830951891,0.16816817224025726,18,6.006662368774414,0.17252396047115326
Breda NB,5.245614035087719,4.572572308103609,4.499957563755948,4.026302404570997,0.15730337798595428,26,5.682247161865234,0.14848484098911285
Bredevoort Gl,4.982142857142857,4.52487560285641,4.457910853194788,4.249153137207031,0.15223880112171173,29,5.771411895751953,0.12933754920959473
Breskens Ze,4.473684210526316,4.707831404240519,4.635584535728375,4.392810486910636,0.16025641560554504,21,6.122096061706543,0.16785714030265808
Brielle ZH,4.859649122807017,4.5494018952954445,4.40718753417664,4.038035342567845,0.14371258020401,23,5.518994331359863,0.15923567116260529
Brouwershaven Ze,5.109090909090909,4.645146278850412,4.524587717273203,4.235354336825284,0.1339285671710968,31,5.831548690795898,0.15654951333999634
Brummen Gl,4.875,4.602793441317093,4.550017693962759,4.3404726300920755,0.1428571492433548,29,5.949589729309082,0.14851485192775726
Brunssum Lb,4.481481481481482,4.6385453404626285,4.501051066938204,4.335045143410012,0.1621621698141098,27,6.024053573608398,0.18918919563293457
Budel NB,4.642857142857143,4.564137733276535,4.432371939082832,4.234448841639927,0.14556962251663208,22,5.799983978271484,0.18243244290351868
Buurmalsen Gl,4.732142857142857,4.6488987303338964,4.59198603197178,4.348893301827567,0.16510902345180511,26,5.860562324523926,0.18874172866344452
Callantsoog NH,4.964912280701754,4.5172464141828215,4.411803466349401,4.115497789884868,0.17352941632270813,27,5.883251667022705,0.162420392036438
Coevorden Dr,4.581818181818182,4.642782778782963,4.567788731285307,4.198242742365057,0.1726384311914444,25,5.677968978881836,0.17627118527889252
Culemborg Gl,4.773584905660377,4.581709266881929,4.389512892214094,4.193367148345372,0.17320261895656586,27,5.73054313659668,0.19272726774215698
Dalfsen Ov,4.631578947368421,4.5705334414771395,4.630980023847086,4.420225444592927,0.15576323866844177,25,5.941719055175781,0.14084506034851074
De Lier ZH,4.962264150943396,4.573571987408519,4.424669487444975,4.028332116468897,0.14240506291389465,32,5.434568405151367,0.17230769991874695
De Lutte Ov,4.264150943396227,4.639116352747056,4.516035745060988,4.287023292397553,0.16487455368041992,26,6.169341087341309,0.1598512977361679
