lang,concept_id,phoneme_id,phoneme,phoneme_len,phoneme_loss
Aalsmeer NH,5,5,b æ r d ə,6,3.9407169818878174
Aalsmeer NH,23,23,d a k ə,5,3.215686082839966
Aalsmeer NH,29,29,d i ʋ ə,5,3.9342708587646484
Aalsmeer NH,34,34,d ʌ ɥ w ə,6,3.4948723316192627
Aalsmeer NH,36,36,ʔ e u w ə,6,3.8752450942993164
Aalsmeer NH,43,43,χ a l,4,4.084371089935303
Aalsmeer NH,59,59,ɦ e i m ə l,7,3.436450958251953
Aalsmeer NH,72,72,k a l ə ʋ ə,7,3.812570810317993
Aalsmeer NH,74,74,k a m ə r s,7,3.544576406478882
Aalsmeer NH,76,76,k a r ə,5,3.0543453693389893
Aalsmeer NH,77,77,k a s t ə,6,3.3837573528289795
Aalsmeer NH,81,81,k ɛ r ə ʋ ə l,8,4.701107978820801
Aalsmeer NH,83,83,k l a ʋ ə r,7,4.030298709869385
Aalsmeer NH,91,91,k o r,4,3.900406837463379
Aalsmeer NH,105,105,m a n d ə,6,3.442314863204956
Aalsmeer NH,107,107,m a z ə l ə,7,3.929811954498291
Aalsmeer NH,108,108,m a i,4,4.523483753204346
Aalsmeer NH,118,118,n æ l d ə,6,5.281586647033691
Aalsmeer NH,124,124,p a j ə,5,3.6202125549316406
Aalsmeer NH,129,129,p e i p ə r,7,3.735029935836792
Aalsmeer NH,143,143,r o u k,5,3.987220287322998
Aalsmeer NH,155,155,s m ɪ t s,6,5.152642726898193
Aalsmeer NH,166,166,s ʌ ɥ k ə r,7,4.4221272468566895
Aalsmeer NH,208,208,z i k t ə s,7,4.813986778259277
Aalsmeer NH,226,226,d r o u x,6,3.8741302490234375
Aalsmeer NH,231,231,ʔ a i ɣ ə,6,3.084902048110962
Aalsmeer NH,235,235,f l e r s,6,4.052839279174805
Aalsmeer NH,261,261,k w e i t,6,3.649998903274536
Aalsmeer NH,263,263,l ɒ t,4,3.961202383041382
Aalsmeer NH,267,267,l e i x,5,3.5134291648864746
Aalsmeer NH,278,278,p r o u p ə r,8,3.8468000888824463
Aalsmeer NH,285,285,s x i f,5,4.115480899810791
Aalsmeer NH,287,287,s x a r ə p,7,3.621350049972534
Aalsmeer NH,294,294,s t a i f,6,3.6046149730682373
Aalsmeer NH,309,309,f r a i,5,3.7217915058135986
Aalsmeer NH,315,315,z a x t,5,3.430302143096924
Aalsmeer NH,337,337,b r a j ə,6,3.166187286376953
Aalsmeer NH,344,344,d i n ə,5,3.511054277420044
Aalsmeer NH,353,353,d o r ə ʋ ə,7,4.000834941864014
Aalsmeer NH,357,357,x a p ə,5,4.219432830810547
Aalsmeer NH,369,369,ɦ a u w ə,6,3.1159303188323975
Aalsmeer NH,371,371,j o k ə,5,5.015069961547852
Aalsmeer NH,374,374,k ø r ə,5,3.644057512283325
Aalsmeer NH,382,382,k r a k ə,6,3.3369579315185547
Aalsmeer NH,387,387,l e i t ə,6,2.824664354324341
Aalsmeer NH,389,389,l e r ə,5,3.4927024841308594
Aalsmeer NH,398,398,m e i n ə,6,3.245971441268921
Aalsmeer NH,420,420,s x o d ə,6,3.829023599624634
Aalsmeer NH,425,425,s l ʌ ɥ t ə,7,3.1026198863983154
Aalsmeer NH,439,439,s t e i k ə,7,2.8789753913879395
Aalsmeer NH,480,480,z u k ə,5,3.9255974292755127
Aalsmeer NH,482,482,z a u t ə,6,3.233250617980957
Aalsmeer NH,485,485,z w ɛ m ə,6,3.9459545612335205
Aalsmeer NH,520,520,ʔ ɔ m,4,3.8437323570251465
Aalsmeer NH,528,528,t o s ə,5,4.73732852935791
Aalsmeer NH,541,541,w ø ɥ n ə z d a x,10,4.143906593322754
Aalsmeer NH,546,546,z ø ɥ w ə n t ə x,10,3.8694164752960205
Aalten Gl,5,554,b ɵ ɹ d ə,6,5.564573764801025
Aalten Gl,23,570,d a k ə,5,4.42988395690918
Aalten Gl,29,576,d e v ə,5,4.31815242767334
Aalten Gl,34,582,d u v ə n,6,3.640855550765991
Aalten Gl,36,584,e u w ə n,6,4.807719707489014
Aalten Gl,43,591,x ɑ l ə,5,4.463242053985596
Aalten Gl,59,606,ə n ɦ e m ɔ ɫ,8,5.585799694061279
Aalten Gl,72,620,k ɑ l v ə ʁ,7,3.986825466156006
Aalten Gl,74,622,k a m ə ʁ s,7,4.390786647796631
Aalten Gl,76,624,k ɦ ʊ ɒ n,6,4.464009761810303
Aalten Gl,77,625,k ɑ s t ə n,7,3.152928113937378
Aalten Gl,81,629,k ɛ r v ɔ ɫ,7,5.6048359870910645
Aalten Gl,83,631,k l ɒ v ə ʁ,7,3.9248030185699463
Aalten Gl,91,639,k ʊ ɒ t s,6,6.254766941070557
Aalten Gl,105,652,m ɔ n d ə n,7,3.4715311527252197
Aalten Gl,107,654,m a z l n,6,5.51716423034668
Aalten Gl,108,655,m ɛ i,4,5.017104148864746
Aalten Gl,118,664,n ɒ l d ə n,7,4.782713890075684
Aalten Gl,124,670,p ɦ a r ə,6,4.666402339935303
Aalten Gl,129,675,p ɦ e p ə ʀ,7,3.9111080169677734
Aalten Gl,143,687,r o k ɦ,5,4.616580009460449
Aalten Gl,155,699,s m e d ə,6,4.326330661773682
Aalten Gl,166,711,s y k ə ʀ,6,5.1881489753723145
Aalten Gl,208,754,z e k t ə s,7,4.941749095916748
Aalten Gl,226,772,d r ø x ə,6,3.8504602909088135
Aalten Gl,231,777,ɛ i x ə n,6,3.874063730239868
Aalten Gl,235,781,f l ɑ u w,6,4.979706287384033
Aalten Gl,261,807,k ʋ ɔ t ɦ,6,4.147828578948975
Aalten Gl,263,809,l a t ɦ ə,6,3.964284658432007
Aalten Gl,267,812,l œ x,4,4.185840129852295
Aalten Gl,285,828,s x e f,5,4.064530372619629
Aalten Gl,287,830,s x ɑ r ə p,7,3.865746021270752
Aalten Gl,294,836,s t i f,5,4.536901473999023
Aalten Gl,309,852,v r e ʝ,5,4.036236763000488
Aalten Gl,315,859,z ɑ x t ə,6,3.5627400875091553
Aalten Gl,337,881,b r ɑ n,5,3.67140531539917
Aalten Gl,344,888,d i n,4,4.083992004394531
Aalten Gl,353,897,d œ r ə v n,7,4.397734642028809
Aalten Gl,357,901,x a p m,5,5.176811695098877
Aalten Gl,369,913,ɦ ɔ l,4,3.978006362915039
Aalten Gl,371,915,j œ k n,5,4.612888813018799
Aalten Gl,374,918,k ɵ ə n,5,4.048341274261475
Aalten Gl,382,926,k r a k n,6,4.024560451507568
Aalten Gl,387,931,l ɒ t n,5,4.211285591125488
Aalten Gl,389,933,l ɪ ɒ n,5,3.948268413543701
Aalten Gl,398,942,m e n,4,4.632045745849609
Aalten Gl,420,964,s x ɵ n,5,3.579944610595703
Aalten Gl,425,969,s l u t n,6,3.8527109622955322
Aalten Gl,439,983,s t e k ŋ,6,4.005887985229492
Aalten Gl,480,1025,z y k n,5,4.024252891540527
Aalten Gl,482,1027,z ɑ l t n,6,3.721829652786255
Aalten Gl,485,1030,z ʋ ɛ m,5,4.273659706115723
Aalten Gl,520,1065,ɵ m,3,7.14624547958374
Aalten Gl,528,1073,t ɦ ɵ s n,6,4.120750427246094
Aalten Gl,541,1086,ʋ u n s d ɑ x,8,4.588524341583252
Aalten Gl,546,1091,z ø v ə n t ə x,9,4.140369892120361
Aardenburg Ze,5,1099,b ɒ r d n,6,4.580959796905518
Aardenburg Ze,23,1118,d ɒ k ŋ,5,3.9840197563171387
Aardenburg Ze,29,1124,d i v ə m,6,4.104667663574219
Aardenburg Ze,34,1130,d y v ə m,6,3.9416189193725586
Aardenburg Ze,36,1132,ʔ i w,4,4.126053333282471
Aardenburg Ze,43,1139,ɦ ɑ ɫ ə,5,4.221707820892334
Aardenburg Ze,59,1155,n e m ə ɫ,6,4.70419454574585
Aardenburg Ze,72,1169,k ɑ ɫ v ə r s,8,4.3249592781066895
Aardenburg Ze,74,1171,k ɑ m ə ɾ s,7,3.405141830444336
Aardenburg Ze,76,1173,k ɑ ɾ n,5,3.491541624069214
Aardenburg Ze,77,1174,k ɑ s n,5,3.614302158355713
Aardenburg Ze,81,1178,k ɛ r v ə ɫ,7,4.664887428283691
Aardenburg Ze,83,1180,k ɫ ɒ v r,6,4.671450138092041
Aardenburg Ze,91,1188,k o s ə,5,5.162513732910156
Aardenburg Ze,105,1201,m ɑ n d n,6,3.7689733505249023
Aardenburg Ze,107,1203,m ɒ z ə ɫ s,7,3.8931782245635986
Aardenburg Ze,108,1204,m ɛ i ə,5,3.991246461868286
Aardenburg Ze,118,1213,n ɑ ɫ d n,6,4.7502827644348145
Aardenburg Ze,124,1219,p ɒ i,4,5.254715919494629
Aardenburg Ze,129,1224,p e p r,5,4.824774742126465
Aardenburg Ze,143,1238,r u ɔ k,5,4.066014766693115
Aardenburg Ze,155,1251,s m e i,5,5.032764434814453
Aardenburg Ze,166,1263,s y k r,5,5.891244411468506
Aardenburg Ze,208,1304,z i k t ə s,7,4.929141521453857
Aardenburg Ze,226,1322,d ɾ u ɔ ɦ ə,7,3.8383944034576416
Aardenburg Ze,231,1327,ʔ ɛ i ɦ ŋ,6,3.6004202365875244
Aardenburg Ze,235,1331,f ɫ a u,5,4.5402140617370605
Aardenburg Ze,261,1357,k w ɒ t,5,4.692746162414551
Aardenburg Ze,263,1359,ɫ ɒ t ə,5,4.757940769195557
Aardenburg Ze,267,1363,ɫ e x,4,4.550410747528076
Aardenburg Ze,278,1374,p ɾ o p ə ɾ,7,4.836672306060791
Aardenburg Ze,285,1381,s x i ə f,6,3.949122428894043
Aardenburg Ze,287,1383,s x ɛ ɾ ə p,7,3.8066837787628174
Aardenburg Ze,294,1390,s t i f,5,4.390007019042969
Aardenburg Ze,309,1406,v ɾ i,4,3.4969234466552734
Aardenburg Ze,315,1414,z ɔ x t ə,6,3.9903249740600586
Aardenburg Ze,337,1437,b ɾ ɑ i,5,3.6077523231506348
Aardenburg Ze,344,1444,d i n,4,3.8087010383605957
Aardenburg Ze,353,1453,d ə ɾ ə v m,7,4.052369117736816
Aardenburg Ze,357,1457,ɦ a p m,5,4.3728346824646
Aardenburg Ze,369,1469,ʔ a u,4,4.583427429199219
Aardenburg Ze,371,1471,j ə k ŋ,5,4.392662525177002
Aardenburg Ze,374,1474,k ø ɾ ə n,6,4.096774578094482
Aardenburg Ze,382,1482,k ɾ ɑ k ŋ,6,3.2591493129730225
Aardenburg Ze,387,1487,ɫ a t n,5,4.371154308319092
Aardenburg Ze,389,1489,ɫ i ə r n,6,3.5538790225982666
Aardenburg Ze,398,1498,m i ə n,5,3.5279953479766846
Aardenburg Ze,420,1520,s x ə d n,6,4.278130054473877
Aardenburg Ze,425,1525,s ɫ y t n,6,3.4964420795440674
Aardenburg Ze,439,1539,s t e k ŋ,6,3.317093849182129
Aardenburg Ze,480,1581,z u k ŋ,5,3.5355238914489746
Aardenburg Ze,482,1583,z a u t n,6,3.4718074798583984
Aardenburg Ze,485,1586,z w ɛ m,5,4.4923624992370605
Aardenburg Ze,520,1622,ʔ ɔ m,4,3.8074071407318115
Aardenburg Ze,528,1630,t ə s n,5,4.420547962188721
Aardenburg Ze,541,1643,w u n s d ɑ ɦ,8,5.164954662322998
Aardenburg Ze,546,1648,s e v ə n t ə x,9,4.815932273864746
