lang	avg_len	lstm
三明	6.066666666666666	2.882845942179362
云霄	7.168067226890756	2.619238588990284
仙游城关	6.791666666666666	2.611846160888672
光泽	7.016666666666668	2.6079265594482424
华安	6.833333333333334	2.799332555135091
南安	6.800000000000001	2.809476979573568
南平	6.991666666666667	2.451476796468099
厦门	6.567796610169491	2.8160362890211204
厦门市同安区	6.408333333333333	2.901911163330078
厦门市思明区	6.5593220338983045	2.811894691596597
古田	7.5423728813559325	2.464847370729608
同安	6.61344537815126	2.812517438616072
周宁	6.841666666666667	2.714141082763672
大田城关	6.558333333333334	2.6240299224853514
大田广平	6.1083333333333325	2.846319325764974
安溪	6.672268907563025	2.8490456973805145
寿宁	6.957627118644068	2.4978566573838057
将乐	6.605042016806722	2.6884398901162028
平和	6.908333333333333	2.727478790283203
平潭	6.899159663865547	2.532506349707852
建宁	7.22689075630252	2.597688690954897
建瓯	7.083333333333334	2.5195220947265624
德化	6.525423728813559	2.857862828141552
惠安	6.529411764705882	2.828210782604057
政和	6.7333333333333325	2.497491836547852
明溪	6.683333333333334	2.5759061177571616
晋江	6.85	2.773993428548177
松溪	6.966666666666667	2.481520970662435
枫亭	6.84873949579832	2.557090182264312
柘荣	7.2666666666666675	2.510236358642578
武夷山	7.366666666666667	2.4200342814127604
永安	6.241666666666667	2.771864318847656
永春	6.285714285714287	2.8936338023979125
永泰	7.53781512605042	2.4008844199300814
沙县	6.550000000000001	2.6937338511149087
泰宁	7.1	2.573945236206055
浦城	7.25	2.505916468302409
漳州	7.15	2.7387922922770183
漳平	7.125	2.642711639404297
漳浦	7.1	2.7601463317871096
石狮	6.85	2.6415075937906902
福安	7.058333333333334	2.533779652913412
福清	7.279661016949152	2.59566769357455
福鼎	6.830508474576272	2.710908404851364
罗源	6.966101694915254	2.602882773189221
罗源畲话	6.966386554621849	2.545526328207064
芗城区	7.175000000000001	2.714697519938151
莆田	6.806722689075631	2.497619116005777
莆田城厢	6.805084745762711	2.516134747004105
蕉城	6.551724137931034	2.578441619873047
诏安	6.806722689075631	2.766763767274488
连江	7.23728813559322	2.553953267760196
邵武	7.133333333333333	2.5384746551513677
长乐	7.441666666666666	2.4234127044677733
长泰	7.083333333333334	2.7044588724772134
闽侯	7.576271186440678	2.476450645317465
霞浦	6.6890756302521	2.781948185768448
霞浦城关	6.940677966101696	2.5041891841565147
顺昌	6.308333333333334	2.864847183227539
鲤城	6.6386554621848735	2.7982748336150864
鼓楼	7.333333333333334	2.452931849161784
龙岩新罗	7.296610169491526	2.683016243627516
龙海	7.07563025210084	2.72042179909073
