lang	avg_len	shannon	test_shannon	test_loss	test_acc	best_epoch	val_loss	val_acc
三明	6.066666666666666	5.015452441063791	4.990004079228393	2.882845942179362	0.3807583749294281	22.0	2.806737486521403	0.3876667579015096
云霄	7.168067226890756	4.610709282850356	4.643761490221889	2.619238588990284	0.3998364453055277	33.0	2.5729168162626377	0.4102647414728373
仙游城关	6.791666666666666	4.716425768040162	4.703383041146574	2.611846160888672	0.4048054377237955	25.0	2.6547900067657983	0.3858179622838477
光泽	7.016666666666668	4.7202803712029135	4.691014481386392	2.6079265594482424	0.4236106793085734	23.0	2.6564520676930745	0.4071575045585632
华安	6.833333333333334	4.675248718099669	4.764983022690251	2.799332555135091	0.3813570161660512	29.0	2.593129618962606	0.4065567274888356
南安	6.800000000000001	4.712429208410812	4.767043298736307	2.809476979573568	0.3569250702857971	30.0	2.682300504048665	0.3915923734505971
南平	6.991666666666667	4.399813790960889	4.351589719034229	2.451476796468099	0.4297392467657725	29.0	2.552612781524658	0.4126796225706736
厦门	6.567796610169491	4.63342944253895	4.626447751560777	2.8160362890211204	0.35032380637476	21.0	2.6840410868326825	0.3718259632587433
厦门市同安区	6.408333333333333	4.851082853625687	4.865426210253059	2.901911163330078	0.3529822170734406	24.0	2.8620490550994875	0.391801921526591
厦门市思明区	6.5593220338983045	4.61382906083474	4.634046345099286	2.811894691596597	0.3585985802997977	30.0	2.740868902206421	0.3768841882546743
古田	7.5423728813559325	4.690073367073671	4.667059254134311	2.464847370729608	0.4453877427820432	35.0	2.56012864112854	0.4038994967937469
同安	6.61344537815126	4.779235331030414	4.831294858501125	2.812517438616072	0.3667363369164346	27.0	2.746955140431722	0.379322342077891
周宁	6.841666666666667	4.71825261252747	4.669491313353947	2.714141082763672	0.3680635352929433	30.0	2.829466883341472	0.3692674100399017
大田城关	6.558333333333334	4.6680336910943305	4.641927055403795	2.6240299224853514	0.3881238281726837	23.0	2.670686531467598	0.3781348018586135
大田广平	6.1083333333333325	4.9187686807551945	4.959890796233125	2.846319325764974	0.383382777372996	21.0	2.8138779632183684	0.3757197538844677
安溪	6.672268907563025	4.7445015238475845	4.836402706551963	2.8490456973805145	0.3592062349579915	30.0	2.7142234484354657	0.3724810123443604
寿宁	6.957627118644068	4.598726612633175	4.553557452366053	2.4978566573838057	0.4174336018198628	30.0	2.5286168257395425	0.4043327371279399
将乐	6.605042016806722	4.7863150802476655	4.752966148716615	2.6884398901162028	0.4255254629279385	32.0	2.727087577184041	0.3947874804337819
平和	6.908333333333333	4.668925901915988	4.7192298191575786	2.727478790283203	0.3636560241381327	24.0	2.677232360839844	0.3980671723683675
平潭	6.899159663865547	4.643148998336279	4.526676926040752	2.532506349707852	0.4032302416172348	24.0	2.607074785232544	0.3932635426521301
建宁	7.22689075630252	4.613095411230349	4.600809696960551	2.597688690954897	0.4236850841205661	30.0	2.5740471206793263	0.4360351973221081
建瓯	7.083333333333334	4.453180134292718	4.38652740037718	2.5195220947265624	0.432907372713089	36.0	2.5220367908477783	0.4302013576030731
德化	6.525423728813559	4.646151676233272	4.72014958628783	2.857862828141552	0.3634422492172758	18.0	2.7469216187795005	0.3872442940870921
惠安	6.529411764705882	4.748781149708977	4.782845488197235	2.828210782604057	0.3815552191574032	26.0	2.7198001543680825	0.3788546741008758
政和	6.7333333333333325	4.513926666651333	4.492826905077677	2.497491836547852	0.4414744635423024	19.0	2.545479965209961	0.4402493258317311
明溪	6.683333333333334	4.671102816742141	4.590818664225183	2.5759061177571616	0.4088434418042501	24.0	2.670613681568819	0.4027164210291469
晋江	6.85	4.667589696302987	4.703020814329019	2.773993428548177	0.3731047848860422	28.0	2.617021179199219	0.4118643780549367
松溪	6.966666666666667	4.621585288155887	4.57584205487374	2.481520970662435	0.4564235786596934	20.0	2.465021848678589	0.4669022301832835
枫亭	6.84873949579832	4.578133281890676	4.565673036401679	2.557090182264312	0.3990263132488026	23.0	2.54614896774292	0.3930951436360677
柘荣	7.2666666666666675	4.602020886529471	4.59250063337353	2.510236358642578	0.411587792634964	32.0	2.4940988858540853	0.4000241259733836
武夷山	7.366666666666667	4.471387707123742	4.4481946392296825	2.4200342814127604	0.4613026956717173	25.0	2.3983580907185877	0.4639773448308309
永安	6.241666666666667	4.865358013851409	4.821945309756255	2.771864318847656	0.4097458620866139	25.0	2.737981160481771	0.3931757231553395
永春	6.285714285714287	4.695691344930837	4.743359044938637	2.8936338023979125	0.3256207727083638	24.0	2.719913578033448	0.3893373111883799
永泰	7.53781512605042	4.5643410615722	4.500879041110567	2.4008844199300814	0.4296424837172532	31.0	2.46752441630644	0.4264035540468552
沙县	6.550000000000001	4.865977187030464	4.886846932978149	2.6937338511149087	0.4208934605121612	22.0	2.627542894427516	0.4313485637432387
泰宁	7.1	4.650666767966411	4.630477258355718	2.573945236206055	0.4404831012090047	24.0	2.6500358561507795	0.4082250667720282
浦城	7.25	4.751185541064969	4.715679503564497	2.505916468302409	0.4491029838720957	22.0	2.528155565261841	0.4333831985791524
漳州	7.15	4.742553784346574	4.781499402429998	2.7387922922770183	0.3941380361715952	29.0	2.5830241521199544	0.4105367143948873
漳平	7.125	4.605712915155386	4.6194307758228295	2.642711639404297	0.390553472439448	29.0	2.5849691124285683	0.4062559715772079
漳浦	7.1	4.72677845987091	4.818461544356788	2.7601463317871096	0.3690917134284973	29.0	2.6285458246866864	0.4060161391894022
石狮	6.85	4.540563683417161	4.551562131357178	2.6415075937906902	0.3755409240722656	25.0	2.5608858267466226	0.3957744379838308
福安	7.058333333333334	4.682628657457162	4.596669596546331	2.533779652913412	0.418438575665156	18.0	2.5737584749857585	0.3784709513187408
