lang	avg_len	lstm
三明	6.066666666666666	3.8849721272786457
云霄	7.168067226890756	3.620862047211463
仙游城关	6.791666666666666	3.605532964070638
光泽	7.016666666666668	3.6125
华安	6.833333333333334	3.799816258748373
南安	6.800000000000001	3.7978223164876304
南平	6.991666666666667	3.4751481374104816
厦门	6.567796610169491	3.786136303917836
厦门市同安区	6.408333333333333	3.892101160685221
厦门市思明区	6.5593220338983045	3.795081445726298
古田	7.5423728813559325	3.506671970173464
同安	6.61344537815126	3.789316513959099
周宁	6.841666666666667	3.723040898640951
大田城关	6.558333333333334	3.608594512939453
大田广平	6.1083333333333325	3.839534759521485
安溪	6.672268907563025	3.810097317735688
寿宁	6.957627118644068	3.500426340911348
将乐	6.605042016806722	3.671431597541361
平和	6.908333333333333	3.720554606119792
平潭	6.899159663865547	3.5594218278131566
建宁	7.22689075630252	3.599893008961397
建瓯	7.083333333333334	3.497946294148763
德化	6.525423728813559	3.856628030033435
惠安	6.529411764705882	3.8343285312171744
政和	6.7333333333333325	3.525348663330078
明溪	6.683333333333334	3.5779837290445964
晋江	6.85	3.7760560353597006
松溪	6.966666666666667	3.491069030761719
枫亭	6.84873949579832	3.5792108103006828
柘荣	7.2666666666666675	3.4789326985677085
武夷山	7.366666666666667	3.393728764851888
永安	6.241666666666667	3.720111211140951
永春	6.285714285714287	3.872302143513656
永泰	7.53781512605042	3.383367458311449
沙县	6.550000000000001	3.6754938761393223
泰宁	7.1	3.607078679402669
浦城	7.25	3.498124440511068
漳州	7.15	3.743557739257812
漳平	7.125	3.639659118652344
漳浦	7.1	3.757182820638021
石狮	6.85	3.665125147501628
福安	7.058333333333334	3.5356842041015626
福清	7.279661016949152	3.62583716441009
福鼎	6.830508474576272	3.6833918943243513
罗源	6.966101694915254	3.530555854409428
罗源畲话	6.966386554621849	3.5096736875902703
芗城区	7.175000000000001	3.7036604563395183
莆田	6.806722689075631	3.488352158490349
莆田城厢	6.805084745762711	3.549869731321173
蕉城	6.551724137931034	3.5788408476730877
诏安	6.806722689075631	3.781814190519958
连江	7.23728813559322	3.464214777542373
邵武	7.133333333333333	3.5432106018066407
长乐	7.441666666666666	3.4184988657633464
长泰	7.083333333333334	3.7217554728190105
闽侯	7.576271186440678	3.4596282183113747
霞浦	6.6890756302521	3.7644471240644695
霞浦城关	6.940677966101696	3.524373458603681
顺昌	6.308333333333334	3.820121510823568
鲤城	6.6386554621848735	3.80454581124442
鼓楼	7.333333333333334	3.409056854248047
龙岩新罗	7.296610169491526	3.713306491657839
龙海	7.07563025210084	3.714289817489496
