lang,concept_id,phoneme_id,phoneme,phoneme_len,phoneme_loss
三明,5,5,h ã 31 tʰ a 44,7,3.541377544403076
三明,23,23,s ɐ m 31 p ɛ̃ 44,8,3.7173547744750977
三明,34,34,h ŋ 254,4,3.956017017364502
三明,36,36,tʰ ɛ̃ i 31 k ɐ m 44,9,3.130007028579712
三明,43,43,t o 43 kʰ e 44,7,4.5751166343688965
三明,69,69,ʔ i ɛ̃ i 44,6,3.348362922668457
三明,78,78,k ɛ̃ 44 h ɛ̃ 31,7,4.244777202606201
三明,81,81,k ɒ 43 ʃ e 43 n ã 51,10,4.794394493103027
三明,83,83,m õ 51 ŋ i ɛ̃ i 0,9,5.660889625549316
三明,86,86,t͡sʰ ɛ̃ i 51 ŋ i ɛ̃ i 0,10,3.315098524093628
三明,94,94,t͡sʰ ɔ̃ 31 m ɔ̃ 51,7,4.158907890319824
三明,105,105,m ɔ̃ 31 h ŋ 44,7,4.268014907836914
三明,107,107,t͡ʃ ɔ̃ 44 ŋ y ɛ 0,8,3.8316125869750977
三明,108,108,t͡ʃ ɔ̃ 31 ŋ y ɛ 0 t͡sʰ ɑ u 44 ʔ i 213,15,4.12119722366333
三明,116,116,s ɔ̃ 31 ŋ i ɛ̃ i 44 m ɔ̃ 51,12,3.9615471363067627
三明,121,121,t ã 33 ʃ ɑ u 31,8,3.8788087368011475
三明,129,129,t͡ʃ ɔ̃ 33 tʰ e 33,7,4.592463970184326
三明,155,155,s ɔ̃ 44 t͡ʃʰ y 33,7,3.6070683002471924
三明,166,166,t ɛ̃ 51,4,3.989393949508667
三明,172,172,ʃ a 31 t͡s a 31,7,3.217527151107788
三明,176,176,kʰ i 254,4,4.017118453979492
三明,212,212,t͡sʰ ã 44,4,3.885110378265381
三明,214,214,k i ɐ m 44,6,3.3532333374023438
三明,224,224,m ɒ 12 t͡s i 51,7,4.089251518249512
三明,225,225,h ŋ 31 ʃ y 51,7,3.6041483879089355
三明,226,226,m ɒ 12 l ɛ̃ 31 ʃ y 51,10,4.169909477233887
三明,228,228,ʃ y 31 t͡s a 31,7,3.245112657546997
三明,231,231,k œ 51,4,3.913132667541504
三明,261,261,t͡s i 213,4,3.8495428562164307
三明,263,263,ʃ ɛ̃ 51,4,4.257211685180664
三明,267,267,ʔ e 31 kʰ e 213 p a ɯ 51,11,4.590875625610352
三明,269,269,l y 51,4,4.312893867492676
三明,279,280,kʰ y i 12 t͡s a 31,8,2.8296456336975098
三明,297,298,ŋ i o 51,5,3.427245616912842
三明,301,302,k y ã 44,5,3.8626980781555176
三明,318,319,ʔ ɔ̃ 31 t͡s a 31,7,2.907010316848755
三明,321,322,h u 31 t ɛ̃ i 254,8,3.7407121658325195
三明,333,334,pʰ u ɛ 254 s ã 44,8,4.244731903076172
三明,337,338,m ã 12 t i ɐ m 33,9,3.749812126159668
三明,344,345,p u e i 31 tʰ ã 31,9,3.95173978805542
三明,353,354,k ɔ̃ 31 ʃ e 51,7,4.030316352844238
三明,371,372,ʔ i 44 ʃ ɐ m 43 kʰ u 33,11,4.5763702392578125
三明,382,383,t u ɛ 12 kʰ u 33,8,4.300689220428467
三明,387,388,ŋ y i 31 k u ã 44,9,3.238044500350952
三明,389,390,t͡ʃʰ ɯ 43 t͡s a 31,7,3.8226170539855957
三明,393,394,t͡ʃʰ ɑ u 12 t͡s a ɯ 254,9,3.6107864379882812
三明,398,399,m ɛ̃ i 43 h u ã 31,9,3.67462420463562
三明,402,403,p o 44,4,4.319504261016846
三明,405,406,s u ɛ 213,5,3.949599027633667
三明,409,410,v ɛ̃ i 31 t͡s a 31,8,3.165829658508301
三明,410,411,t͡s ã 33,4,3.757549285888672
三明,441,442,t͡ʃʰ y ɛ 44,5,3.9687399864196777
三明,480,481,ʔ i ã 44 ʔ œ 51,8,4.461549758911133
