lang,avg_len,shannon,test_shannon,test_loss,test_acc,best_epoch,val_loss,val_acc
三明,6.066666666666666,5.015452441063791,4.990004079228393,3.8849721272786457,0.13691773811976116,37,4.918045711517334,0.14149736364682516
云霄,7.168067226890756,4.6107092828503555,4.643761490221889,3.6208620472114625,0.10272680485949796,38,4.948175658698843,0.10323460775764048
仙游城关,6.791666666666666,4.716425768040162,4.703383041146574,3.605532964070638,0.12833997011184692,42,4.916118902318618,0.13719035559842566
光泽,7.0166666666666675,4.7202803712029135,4.691014481386392,3.6125,0.1079917644460996,36,5.0284219741821286,0.1054059570034345
华安,6.833333333333334,4.675248718099669,4.764983022690251,3.7998162587483724,0.12948037832975387,47,4.8826275825500485,0.12180779079596202
南安,6.800000000000001,4.7124292084108115,4.767043298736307,3.7978223164876304,0.11010335932175318,35,5.0188037872314455,0.099420099457105
南平,6.991666666666667,4.399813790960889,4.351589719034229,3.4751481374104816,0.10851704627275467,30,4.920058790842692,0.1013377716143926
厦门,6.567796610169491,4.63342944253895,4.626447751560777,3.786136303917836,0.10849302198927281,28,5.066331322987875,0.10985237310330073
厦门市同安区,6.408333333333333,4.851082853625687,4.865426210253059,3.8921011606852214,0.13729408085346223,32,5.436533069610595,0.1483353187640508
厦门市思明区,6.5593220338983045,4.61382906083474,4.634046345099286,3.795081445726298,0.11652369847742178,25,5.132305685679118,0.10855942716201146
古田,7.5423728813559325,4.690073367073671,4.667059254134311,3.506671970173464,0.11035619335154355,41,4.850602436065674,0.11942509412765503
同安,6.61344537815126,4.779235331030414,4.831294858501125,3.789316513959099,0.1313310293089442,33,5.0533313433329266,0.1355855534474055
周宁,6.841666666666667,4.71825261252747,4.669491313353947,3.7230408986409507,0.10223243534564971,31,5.189665381113688,0.12466054459412892
大田城关,6.558333333333334,4.6680336910943305,4.641927055403795,3.608594512939453,0.11133038699626922,32,4.95222665081505,0.10186192718874507
大田广平,6.1083333333333325,4.9187686807551945,4.959890796233125,3.8395347595214844,0.13420365254084268,24,4.974700843586641,0.1347620422098817
安溪,6.672268907563025,4.7445015238475845,4.836402706551963,3.810097317735688,0.1257701580639647,33,5.019700463612875,0.12854742308457692
寿宁,6.9576271186440675,4.5987266126331745,4.553557452366053,3.500426340911348,0.10672836978051622,32,4.889250596364339,0.1115493228038152
将乐,6.605042016806722,4.7863150802476655,4.752966148716615,3.6714315975413605,0.13172983421998866,39,4.977916749318441,0.1310813307762146
平和,6.908333333333333,4.668925901915988,4.7192298191575786,3.7205546061197916,0.1109106848637263,37,4.999754810333252,0.12367998560269673
平潭,6.899159663865547,4.643148998336279,4.526676926040752,3.5594218278131566,0.115718845810209,29,4.988939921061198,0.11480147788921992
建宁,7.22689075630252,4.613095411230349,4.6008096969605505,3.599893008961397,0.10900668248909862,34,4.924016074973996,0.10535501770111692
建瓯,7.083333333333334,4.453180134292718,4.38652740037718,3.497946294148763,0.10111492226521174,34,4.861762523651123,0.10799303402503331
